gymId,name,address,lat,lng,location,shortDescription,longDescription
12756,Akalla Gårds utegym,Imatragatan 230,59.41237448,17.91488069,"{""lat"": 59.41237447584166, ""lng"": 17.91488068886686}",Ett komplett utegym vid Akalla gårds bollplan.,"Du åker blå tunnelbanelinje till Akalla och promenerar cirka 350 meter till gymmet.
Här kan du träna:
dips, 
 situps, 
 knäböj, 
 marklyft, 
 upphopp, 
 ryggdrag, 
 armgång, 
 bänkpress, 
 axelpress, 
 balansträning. Här finns även en räckhäv i olika nivåer och en stretchyta."
15335,Alviks strands utegym,Gustavslundsvägen,59.33166811,17.98555543,"{""lat"": 59.33166811322353, ""lng"": 17.985555426441763}",Välkommen att träna i Alviks strandpark!,"Fakta om anläggningen:
På två platser i parken finns ett utegym i trä och metall. Ett förslag till träningsprogram finns vid redskapen. Underlaget är baksand och stenmjöl.
Bra att veta:
Det tar cirka 5 minuter att gå från Alviks station."
14997,Aromen utegym,Ingenjörsvägen 25,59.30722586,18.02578485,"{""lat"": 59.30722586046123, ""lng"": 18.02578485342317}","Aromen är en tillfällig aktivitetsplats med bland annat utegym, multisportplan och basketkorgar.","Aktivitetsplatsen Aromen ligger mellan Ingenjörsvägen och Blomsterdalen.
Fakta om anläggningen::
träningsredskap i trä, 
 armhävningsstänger i olika höjder, 
 sit-up-ramp för mage, 
 axelpress med stockar, 
 grusunderlag, Bra att veta:
Vid aktivitetsplatsen finns även:
en öppen bollplan med fotbolls- och bandymål, 
 basketkorgar, 
 sittbänkar med bord, 
 grillplats, Övrigt
Platsen ligger nära kollektivtrafik. 
 Parken ingår i stadsutvecklingsprojekt Södertäljevägen och på sikt kommer parken att bebyggas. "
15474,Bandängens utegym,Harpsundsvägen 52,59.26500227,18.0445733,"{""lat"": 59.26500227080058, ""lng"": 18.044573297600863}",Välkommen till ett litet och belyst utegym med grusunderlag beläget på Bandhagens öppna ängar.,"Redskap
Utegymmet är utrustat med redskap av trä och metall för allroundträning:
Gäddan kort, 
 Gäddan lång, 
 Ekoxen låg, 
 Ekoxen hög, 
 Gråsuggan låg, 
 Gråsuggan hög, 
 Trädet, 
 Busken, 
Utegymmet är till för spontanidrott - det kan alltså inte bokas och är inte avsedd för organiserad idrott.

En bit från utegymmet finns flera möjligheter till spontanidrott såsom bollplan och basketplan. Utöver detta finns även lekpark, plaskdamm och sittplatser med bord, samt grillplats i närheten.
Utegymmet har belysning till klockan 22.00.
Närmaste stationer:
Högdalen (tunnelbana), 
 Bandhagen (tunnelbana), "
15453,Beckomberga utegym,Grafitgränd,59.36153043,17.90453877,"{""lat"": 59.36153043307269, ""lng"": 17.904538766918623}",Välkommen att träna på det nybyggda utegymmet i Beckomberga.,"Fakta om anläggningen:
Utegymmet byggdes våren 2022. Redskapen gjorda i metall och trä och står på ett underlag av träflis. På redskapen finns skyltar med förslag på övningar.
Bra att veta:
Utegymmet ligger i förlängningen av Grafitgränd i Beckomberga. Närmaste busshållplats är Styresman Sanders väg som ligger på Spångavägen. "
12757,Björkhagens utegym,,59.29386709,18.12642801,"{""lat"": 59.29386709492052, ""lng"": 18.126428011094518}","Utegymmet ligger vid startplatsen för Björkhagsspåret, perfekt för ett pass före eller efter din löparrunda.","Fakta om anläggningen:
Redskap finns för marklyft, ryggdrag, armgång, situps, dips, bänkpress, axelpress, knäböj, upphopp och balansträning. , 
 Här finns även räckhäv i olika nivåer samt en stretchyta. 
 Björkhagsspåret är belyst fram till klockan 22.00. Bra att veta:
Tunnelbana grön linje till Björkhagen, promenad cirka 700 meter. "
14826,Blåsutparkens utegym,Blåsutvägen 15,59.29301745,18.0911846,"{""lat"": 59.29301744788078, ""lng"": 18.091184599455826}",Välkommen till två gym med barkunderlag belägna i Blåsutparken - ett ute och seniorgym.,"
Gymmet ligger nära boulebana, bollplan, lekpark och hundrastgård. Utegymmet är utrustat med redskap av trä och metall för allroundträning och består av redskapen:
Korta gäddan, 
 Långa gäddan, 
 Trädet, 
 Busken, 
 Låg ekoxe, 
 Hög ekoxe, 
 Balanspall (tre stycken), Seniorgym
Gymmet ligger nära boulebana, bollplan, härliga gräsytor och grillplats.
Seniorgymmet har redskap som inte är så tunga och har tonvikt på lågintensiv träning och balansträning och består av redskapen:
Intill utegymmet finns flera möjligheter till spontanidrott såsom bollplan och boulebanor. Utöver detta finns även lekpark, hundrastgård och sittplatser med bord, samt grillplats i närheten.
Utegymmet har belysning fram till klockan 22.00.
Närmaste station: Blåsut (tunnelbana)"
13617,Bredängs utegym,,59.29560822,17.92233003,"{""lat"": 59.295608221855304, ""lng"": 17.92233002601551}",Stockholms stads erbjuder ett mindre utegym helt i trä intill Bredängs camping.,"Hitta hit
Närmaste tunnelbana är Bredäng och om du följer skyltningen för Bredängs camping hittar du utegymmet strax efter campingen och bredvid skogen. <br>
Det finns en parkering bredvid parkeringen.
Kombinera din träning
Gå eller spring i Bredängsspåret som är ett belyst motionsspår på 3,2 km. "
15486,Broparkens utegym,Stora Essingen,59.32138545,17.99828371,"{""lat"": 59.32138545281616, ""lng"": 17.99828371378251}","Detta utegym ligger längs strandpromenaden i Broparken, på östra delen av Stora Essingen.","Fakta om anläggningen:
På utegymmet finns redskap för till exempel chins, situps, dips, axelpress och balansträning. Redskapen är i metall och trä. 
 Intill gymmet finns en plattform i trä för stretch och andra egna övningar. 
 Belysning finns. 
 Anläggningen snöröjs inte. Bra att veta:
Utegymmet ligger inom ett område där hundar får släppas lösa. "
13619,Brotorp utegym,,59.27223977,18.14849364,"{""lat"": 59.272239769463454, ""lng"": 18.148493639495868}",Brotorp utegym är ett komplett utegym. Här finns även en räckhäv i olika nivåer samt en stretchyta.,"Utegymmet har lätta vikter.
I anslutning till utegymmet finns två boulebanor samt en fotbollsplan på grus. "
